<<<<<<< HEAD
﻿Country,Region,Gender,Age-years,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,10,Right-handed,0,0,0,2,Car,10,0.66,56,Netball,1000,947,1000,,1000,947
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,14,Ambidextrous,174,25,176,1,Car,15,0.42,31,Netball,220,509,610,214,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,14,Left-handed,170,26,160,2,Bus,25,0.375,,Athletics,1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
UK,South West,Female,15,Right-handed,163,22,154,1,Walk,12,0.33,41,Football/Soccer,871,998,1000,1000,871,869
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,16,Right-handed,171,22,162,2,Bus,40,2.47,31,Golf,1000,941,941,911,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,11,Right-handed,146,22,138,1,Car,15,0.69,36,Rugby Union,7,111,25,41,539,151
,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Female,12,Right-handed,156.5,21,161,1,Car,15,0.341,37,Swimming,824,278,91,219,941,968
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Male,15,Right-handed,184,30,184,1,Bus,25,0.51,27,None,,,976,,982,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,14,Right-handed,160,22,166.5,2,Bus,35,0.391,31,Bowling,1000,1000,1000,1000,503,599
,,,,,,,,,,,,,,,,,,,
UK,West Midlands,Male,13,Right-handed,171,26.25,171,1,Walk,20,14.08,51,Football/Soccer,365,723,756,711,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Tasmania,Female,11,Right-handed,147,23,119,2,Cycle,10,0.37,43,Basketball,545,1000,699,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Male,10,Right-handed,140,21,141,1,Car,5,0.4,,Football/Soccer,1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,10,Right-handed,150,25,150,1,Car,5,0.621,,Netball,500,,1000,,,
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,12,Right-handed,148,22,152,1,Walk,15,0.016,22,Football/Soccer,476,235,219,193,1000,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,17,Right-handed,184.5,18.5,170,1,Bus,90,0.47,52,Other activities/sports,866,112,241,791,845,856
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,7,Right-handed,121,121,21,1,Car,10,0.79,45,Cycling,1000,1000,1000,1000,,72
,,,,,,,,,,,,,,,,,,,
UK,East Midlands,Female,11,Right-handed,155,23,158,1,Walk,5,8,88,Dancing,560,410,332,500,1000,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,13,Right-handed,111,23,100,1,Walk,3,0.733,32,Swimming,882,920,524,909,663,668
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,12,Right-handed,145,24,144.5,2,Walk,5,0.313,29,Athletics,818,818,818,824,706,711
,,,,,,,,,,,,,,,,,,,
UK,North West,Female,11,Right-handed,151,24,148,2,Car,10,0.42,35,Hockey (Field),500,500,1000,500,1000,992
,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Female,15,Right-handed,157.5,22,158.5,1,Car,30,1.382,39,Other activities/sports,545,321,791,524,401,508
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,12,Ambidextrous,155,21,154,1,Car,5,0.328,56,Hockey (Ice),203,209,316,230,872,872
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,14,Right-handed,170,28,146,1,Bus,60,0.411,168,Hockey (Ice),214,193,59,460,947,957
,,,,,,,,,,,,,,,,,,,
